Species,CalendarYear,SpeciesType,SACN,Imports,Exports,Consumption,Production,Purchases,UKPOP,Protein_g100g,Omega3_DHAEPA_g100g,VitaminA_ľg100g,VitaminD_ľg100g,VitaminB12_ľg100g,Zinc_mg100g,Iron_mg100g,Calcium_mg100g,Selenium_ľg100g,Iodine_ľg100g
Halibut,2020,Marine,Oily,892141000,816463000,NA,91093905,NA,67081000,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2009,Marine,Oily,3065729000,1609663000,1018210713,204950430,NA,62260500,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2018,Marine,Oily,1098025000,250503000,100119710,111889350,NA,66435600,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2016,Marine,Oily,1271949000,364949000,NA,59093235,NA,65648100,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2014,Marine,Oily,1280200000,508146000,307612930,29700000,NA,64596800,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2012,Marine,Oily,1553264000,821455000,1302273438,64998540,NA,63705000,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Herring,2019,Marine,Oily,5386393000,34121043000,1837142491,44520676129,10424379722,66796800,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2018,Marine,Oily,4149744000,50155888000,3322490630,60865199450,12496019892,66435600,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2013,Marine,Oily,11715180000,52365842000,4059553632,55365665018,12471963631,64105700,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2014,Marine,Oily,11683562000,62466754000,9251212094,57633242934,18985004605,64596800,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2011,Marine,Oily,11940919000,32202751000,4304319030,36327021157,13955703723,63285100,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2010,Marine,Oily,8507632000,36192198000,8156825751,39474403356,17439469788,62759500,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2016,Marine,Oily,9419863000,43018113000,4384093478,54416467708,11852434842,65648100,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2009,Marine,Oily,8384763000,33574186000,7061180847,39601510065,18144557633,62260500,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2020,Marine,Oily,4154964000,36546204000,3136744827,45218411486,13121606557,67081000,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2017,Marine,Oily,6614004000,40664121000,3182463218,49597288059,13316320678,66040200,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2015,Marine,Oily,9212837000,62911740000,9119654118,55309450290,12994415861,65110000,17,3.76,6,11.5,12,0.5,1,38,50,16
Herring,2012,Marine,Oily,18714708000,57851248000,5387919470,53347741531,13766976983,63705000,17,3.76,6,11.5,12,0.5,1,38,50,16
Lemon sole,2017,Marine,Lean,NA,NA,1117702714,NA,NA,66040200,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2020,Marine,Lean,NA,NA,2680928230,NA,NA,67081000,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2015,Marine,Lean,NA,NA,1311210973,NA,NA,65110000,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2019,Marine,Lean,NA,NA,876673655,NA,NA,66796800,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2009,Marine,Lean,NA,NA,3928819537,NA,NA,62260500,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2013,Marine,Lean,NA,NA,3005994329,NA,NA,64105700,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2018,Marine,Lean,NA,NA,1702035086,NA,NA,66435600,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2011,Marine,Lean,NA,NA,3592100368,NA,NA,63285100,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2012,Marine,Lean,NA,NA,2654552594,NA,NA,63705000,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2016,Marine,Lean,NA,NA,2234721221,NA,NA,65648100,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2014,Marine,Lean,NA,NA,4729548805,NA,NA,64596800,16,0.05,0,0,1,0.3,0.1,26,40,23
Lemon sole,2010,Marine,Lean,NA,NA,2168568223,NA,NA,62759500,16,0.05,0,0,1,0.3,0.1,26,40,23
Ling,2016,Marine,Lean,1237902000,2061097000,NA,2719996800,NA,65648100,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2014,Marine,Lean,1137422000,2209139000,NA,2436974450,NA,64596800,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2017,Marine,Lean,903790000,2171606000,NA,2845428000,NA,66040200,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2010,Marine,Lean,2650598000,3022082000,NA,2236070650,NA,62759500,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2011,Marine,Lean,1964871000,2688041000,NA,2368939600,NA,63285100,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2015,Marine,Lean,892024000,2009368000,NA,2290964200,NA,65110000,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2012,Marine,Lean,1311119000,2263426000,NA,2337148650,NA,63705000,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2009,Marine,Lean,2714739000,2090279000,NA,2129973000,NA,62260500,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2020,Marine,Lean,728801000,1937306000,NA,2477650650,NA,67081000,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2019,Marine,Lean,386849000,1734388000,NA,2936932250,NA,66796800,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2018,Marine,Lean,860136000,1762101000,NA,2882574900,NA,66435600,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Ling,2013,Marine,Lean,1105158000,2580693000,NA,2295920200,NA,64105700,17.5,0.05,2,3.4,0.5,0.4,0.2,28,30,66
Mackerel,2018,Marine,Oily,13355912000,66128424000,20432736598,82085508244,NA,66435600,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2010,Marine,Oily,41832679000,1.12E+11,18583896582,69088621289,NA,62759500,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2015,Marine,Oily,17754223000,79029280000,14014602762,1.07E+11,NA,65110000,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2019,Marine,Oily,18888618000,60720303000,19880887026,65423159346,NA,66796800,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2016,Marine,Oily,17917907000,81130443000,17102033185,93452723579,NA,65648100,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2020,Marine,Oily,13677890000,69399342000,13407098382,87851662173,NA,67081000,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2017,Marine,Oily,21554272000,76520360000,19504011892,97589606863,NA,66040200,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2014,Marine,Oily,31189581000,1.19E+11,22340232865,1.24E+11,NA,64596800,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2012,Marine,Oily,47720094000,74114792000,19199277447,72601889204,NA,63705000,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2009,Marine,Oily,30741533000,1.02E+11,15130027456,74093383033,NA,62260500,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2013,Marine,Oily,27876901000,80038590000,26982918785,70438086118,NA,64105700,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Mackerel,2011,Marine,Oily,29986375000,77056983000,15595505610,78352477262,NA,63285100,18,2.599625523,54,8,8.81,0.51,0.98,20,42,29
Monkfish,2018,Marine,Lean,1178881000,3984596000,574687141,9333199100,NA,66435600,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2015,Marine,Lean,894870000,3801208000,439119549,9091891750,NA,65110000,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2010,Marine,Lean,3145405000,4274728000,127643572,7197154600,NA,62759500,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2011,Marine,Lean,2543359000,3755729000,351282852,7563254850,NA,63285100,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2016,Marine,Lean,1184346000,4503302000,NA,10224081250,NA,65648100,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2014,Marine,Lean,1475706000,3363408000,236390050,7915907850,NA,64596800,15.8,0.03,80,1,0.8,0.3,0,5,30,14
